InstanceType,Duration,PaymentOption,ReservedInstanceOfferingId,FixedPrice
c6g.large.search,94608000,NO_UPFRONT,9065708c-bb14-4872-9f22-f70500133353,0.0
c6g.xlarge.search,94608000,NO_UPFRONT,08441cd1-e424-4502-b8a1-f86622631589,0.0
c6g.xlarge.search,31536000,NO_UPFRONT,16165684-28d4-4343-a1cc-39608ed373b0,0.0
c6g.xlarge.search,94608000,PARTIAL_UPFRONT,6b4f971f-6d19-4be1-8c4d-3a209566090d,1865.88
c6g.xlarge.search,31536000,PARTIAL_UPFRONT,97e95dbf-305c-4ac2-8f02-50c941830506,833.426
c6g.xlarge.search,31536000,ALL_UPFRONT,a9f96ace-aeae-40b7-8639-7e342bbb386e,1617.096
c6g.xlarge.search,94608000,ALL_UPFRONT,b47e0250-66b8-4843-a4de-b0830497e0bc,3582.49
c7g.12xlarge.search,94608000,NO_UPFRONT,4ec3b7d0-2eb3-46d6-abf0-9b9f8d5c8fd8,0.0
c7g.12xlarge.search,31536000,ALL_UPFRONT,862969d5-7d25-4a74-9df4-a7b3f8bd3068,20635.0
c7g.12xlarge.search,31536000,PARTIAL_UPFRONT,b3a31d2c-8e15-4315-9462-8b27a75d6b5c,10635.0
c7g.12xlarge.search,94608000,ALL_UPFRONT,b6a82799-97ba-43ea-8c3f-0a793a1e6fc9,45715.0
c7g.12xlarge.search,31536000,NO_UPFRONT,c239b40b-111a-4d92-9592-b83d58000269,0.0
c7g.12xlarge.search,94608000,PARTIAL_UPFRONT,f37d1322-d042-4956-b647-775dee0bc1f2,23810.0
c7g.16xlarge.search,94608000,ALL_UPFRONT,27cea45b-881e-426a-a7c5-15309d7db84f,60953.0
c7g.16xlarge.search,31536000,PARTIAL_UPFRONT,570ccb0e-bbc1-4209-abc2-ca40375a783b,14180.0
c7g.16xlarge.search,94608000,NO_UPFRONT,7c6eda0c-b687-4027-971a-b62c31be1405,0.0
c7g.16xlarge.search,31536000,ALL_UPFRONT,8a7aef86-7f87-4e9b-a345-1842f748b0c5,27513.0
c7g.16xlarge.search,94608000,PARTIAL_UPFRONT,ca87505c-1639-4479-8b44-35564a5fb548,31746.0
c7g.16xlarge.search,31536000,NO_UPFRONT,ecdc926a-31ed-4307-a04c-903a58fe1fc1,0.0
c7g.2xlarge.search,31536000,NO_UPFRONT,085eec88-f074-4c35-9ed5-b4d58d06baf4,0.0
c7g.2xlarge.search,94608000,NO_UPFRONT,1a5743f9-a1b4-4565-b2c4-a66040bc0ddc,0.0
c7g.2xlarge.search,31536000,PARTIAL_UPFRONT,1bbedb73-7b12-4cdb-80dd-08b4f5d1255b,1772.0
c7g.2xlarge.search,94608000,PARTIAL_UPFRONT,33025b30-9303-47f5-8a86-080e0981587a,3968.0
c7g.2xlarge.search,94608000,ALL_UPFRONT,af0c879f-bad8-4807-b3e9-d0b52b640790,7619.0
c7g.2xlarge.search,31536000,ALL_UPFRONT,d80b1fc7-27b1-4fc6-9451-002d1767f544,3439.0
c7g.4xlarge.search,31536000,NO_UPFRONT,188d597c-59a5-49d5-b8f7-3cdd54f91768,0.0
c7g.4xlarge.search,94608000,PARTIAL_UPFRONT,1cc6aeab-b88d-4729-9f78-1d32018a9d02,7937.0
c7g.4xlarge.search,94608000,NO_UPFRONT,2db44b4f-8563-4227-ab31-8a582174b895,0.0
c7g.4xlarge.search,31536000,PARTIAL_UPFRONT,33bce66a-a86c-40fa-b8b2-a9d468d70219,3545.0
c7g.4xlarge.search,94608000,ALL_UPFRONT,3d193500-ea32-4724-a694-af96e1edc3c3,15238.0
c7g.4xlarge.search,31536000,ALL_UPFRONT,5a3e216d-e6bb-4868-a985-53dd2e103a52,6878.0
c7g.8xlarge.search,94608000,NO_UPFRONT,0e93a549-a224-436b-b703-5e67146e51de,0.0
c7g.8xlarge.search,31536000,NO_UPFRONT,154810ee-26fa-405a-853b-4fab26294bfb,0.0
c7g.8xlarge.search,94608000,ALL_UPFRONT,3ba482f8-1fb8-403a-b3d5-1b2ca2b6077d,30476.0
c7g.8xlarge.search,31536000,ALL_UPFRONT,7b52708b-9570-494f-9131-51acddda363c,13757.0
c7g.8xlarge.search,31536000,PARTIAL_UPFRONT,9c1c9e79-4336-41b4-bbd8-b202997d5b60,7090.0
c7g.8xlarge.search,94608000,PARTIAL_UPFRONT,f8daee57-e4dd-40ab-9fe7-96c5ac79835e,15873.0
c7g.large.search,94608000,PARTIAL_UPFRONT,02ed8b56-39f3-4f46-9852-f3b8dd77d26c,992.0
c7g.large.search,94608000,NO_UPFRONT,081af31c-2d63-4023-98b6-ce29436f4388,0.0
c7g.large.search,31536000,ALL_UPFRONT,36bc50f7-164d-479b-9e5f-5e3c9fb0a004,860.0
c7g.large.search,31536000,NO_UPFRONT,b4aec8c8-4cac-4189-b8a3-31090c24d311,0.0
c7g.large.search,94608000,ALL_UPFRONT,d4dcbe99-2aed-4c31-ac34-ca6bcd1a9530,1905.0
c7g.large.search,31536000,PARTIAL_UPFRONT,ddd19f41-3ab7-4ce0-a076-d8934b37027a,443.0
c7g.xlarge.search,31536000,PARTIAL_UPFRONT,0753d166-7ff7-40ac-bc17-2e536005fa78,886.0
c7g.xlarge.search,31536000,NO_UPFRONT,1649bef0-5b3a-4e7f-9e2b-ade5d5950bb3,0.0
c7g.xlarge.search,94608000,ALL_UPFRONT,26a56646-f9a9-44cc-a64b-5eb3e254fc81,3810.0
c7g.xlarge.search,94608000,NO_UPFRONT,98e82c6e-ab30-4bc1-b6a6-0360b5d9c87a,0.0
c7g.xlarge.search,31536000,ALL_UPFRONT,d21d0932-b501-45d8-a5b3-d8cfbb5a32bd,1720.0
c7g.xlarge.search,94608000,PARTIAL_UPFRONT,e2f11efa-a46f-4748-8e4e-c81a2811e2df,1984.0
c7i.12xlarge.search,94608000,PARTIAL_UPFRONT,3dd9dbc4-d7c4-42cc-90e8-91a5cb8a2ceb,28345.608
c7i.12xlarge.search,31536000,ALL_UPFRONT,b91945e4-8e46-46c8-a0ac-a0547f67714b,24565.055
c7i.12xlarge.search,94608000,ALL_UPFRONT,cfb1bb4b-519d-498a-ba82-5b38e961d0e3,54421.045
c7i.12xlarge.search,31536000,NO_UPFRONT,d9db8d17-4bc2-4405-8897-a2bb32ac8165,0.0
c7i.12xlarge.search,31536000,PARTIAL_UPFRONT,e35684d0-808b-4ace-bc4a-552ff54aa14b,12660.828
c7i.12xlarge.search,94608000,NO_UPFRONT,ee430a64-326a-4bb3-995a-3bf9e52eaed4,0.0
c7i.16xlarge.search,94608000,NO_UPFRONT,74835b9d-c9a4-4a98-bde3-102997d29cc6,0.0
c7i.16xlarge.search,31536000,NO_UPFRONT,7acc78fb-6ca3-4620-a88a-74e6157f5a90,0.0
c7i.16xlarge.search,94608000,ALL_UPFRONT,874a10b5-27a9-49c5-97fb-44faaf596a38,72561.813
c7i.16xlarge.search,31536000,ALL_UPFRONT,d1b0e00c-9bf1-43b7-8aa7-ce81169b0f64,32753.596
