InstanceType,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f
m5d.12xlarge,True,True,True,True,False,True
m5d.16xlarge,True,True,True,True,False,True
m5d.24xlarge,True,True,True,True,False,True
m5d.2xlarge,True,True,True,True,False,True
m5d.4xlarge,True,True,True,True,False,True
m5d.8xlarge,True,True,True,True,False,True
m5d.large,True,True,True,True,False,True
m5d.metal,True,True,True,True,False,True
m5d.xlarge,True,True,True,True,False,True
m5dn.12xlarge,True,True,True,True,False,True
m5dn.16xlarge,True,True,True,True,False,True
m5dn.24xlarge,True,True,True,True,False,True
m5dn.2xlarge,True,True,True,True,False,True
m5dn.4xlarge,True,True,True,True,False,True
m5dn.8xlarge,True,True,True,True,False,True
m5dn.large,True,True,True,True,False,True
m5dn.metal,True,True,True,True,False,True
m5dn.xlarge,True,True,True,True,False,True
m5n.12xlarge,True,True,True,True,False,True
m5n.16xlarge,True,True,True,True,False,True
m5n.24xlarge,True,True,True,True,False,True
m5n.2xlarge,True,True,True,True,False,True
m5n.4xlarge,True,True,True,True,False,True
m5n.8xlarge,True,True,True,True,False,True
m5n.large,True,True,True,True,False,True
m5n.metal,True,True,False,True,False,True
m5n.xlarge,True,True,True,True,False,True
m5zn.12xlarge,True,True,True,True,False,True
m5zn.2xlarge,True,True,True,True,False,True
m5zn.3xlarge,True,True,True,True,False,True
m5zn.6xlarge,True,True,True,True,False,True
m5zn.large,True,True,True,True,False,True
m5zn.metal,True,True,True,True,False,True
m5zn.xlarge,True,True,True,True,False,True
m6a.12xlarge,True,True,True,True,False,True
m6a.16xlarge,True,True,True,True,False,True
m6a.24xlarge,True,True,True,True,False,True
m6a.2xlarge,True,True,True,True,False,True
m6a.32xlarge,True,True,True,True,False,True
m6a.48xlarge,True,True,True,True,False,True
m6a.4xlarge,True,True,True,True,False,True
m6a.8xlarge,True,True,True,True,False,True
m6a.large,True,True,True,True,False,True
m6a.metal,True,True,True,True,False,True
m6a.xlarge,True,True,True,True,False,True
m6g.12xlarge,True,True,True,True,False,True
m6g.16xlarge,True,True,True,True,False,True
m6g.2xlarge,True,True,True,True,False,True
m6g.4xlarge,True,True,True,True,False,True
m6g.8xlarge,True,True,True,True,False,True
m6g.large,True,True,True,True,False,True
m6g.medium,True,True,True,True,False,True
m6g.metal,True,True,True,True,False,True
m6g.xlarge,True,True,True,True,False,True
m6gd.12xlarge,True,True,True,True,False,True
m6gd.16xlarge,True,True,True,True,False,True
m6gd.2xlarge,True,True,True,True,False,True
m6gd.4xlarge,True,True,True,True,False,True
m6gd.8xlarge,True,True,True,True,False,True
m6gd.large,True,True,True,True,False,True
m6gd.medium,True,True,True,True,False,True
m6gd.metal,True,True,True,True,False,True
m6gd.xlarge,True,True,True,True,False,True
m6i.12xlarge,True,True,True,True,False,True
